ID,title,description,startTime,endTime,speaker,room,capacity,event_ID
dddd1111-1111-1111-1111-111111111111,Introduction to DevOps,Core principles and culture behind DevOps,2026-02-20T09:00:00,2026-02-20T10:00:00,Alex Morgan,Main Hall,80,a4444444-4444-4444-4444-444444444444
dddd2222-2222-2222-2222-222222222222,CI/CD Pipeline Design,Building robust continuous delivery pipelines,2026-02-20T10:30:00,2026-02-20T12:00:00,Priya Sharma,Room 1,50,a4444444-4444-4444-4444-444444444444
dddd3333-3333-3333-3333-333333333333,Agile at Scale,Scaling Agile frameworks across large teams,2026-02-20T13:00:00,2026-02-20T14:30:00,Lucas Petit,Room 2,60,a4444444-4444-4444-4444-444444444444
dddd4444-4444-4444-4444-444444444444,Docker & Containers,Containerising applications with Docker,2026-02-20T15:00:00,2026-02-20T16:30:00,Anna Kowalski,Lab A,30,a4444444-4444-4444-4444-444444444444
eeee1111-1111-1111-1111-111111111111,Modern Data Stack,Overview of dbt and Airbyte with Snowflake,2026-03-14T09:00:00,2026-03-14T10:30:00,Chris Johnson,Hall A,70,a5555555-5555-5555-5555-555555555555
eeee2222-2222-2222-2222-222222222222,dbt & Data Transformation,Transforming raw data with dbt in production,2026-03-14T11:00:00,2026-03-14T12:30:00,Fatima Al-Hassan,Room 3,40,a5555555-5555-5555-5555-555555555555
eeee3333-3333-3333-3333-333333333333,Real-Time Data Streaming,Event-driven architectures with Kafka,2026-03-14T13:30:00,2026-03-14T15:00:00,Marco Rossi,Room 4,45,a5555555-5555-5555-5555-555555555555
eeee4444-4444-4444-4444-444444444444,Data Governance & Compliance,Policies and tooling for trustworthy data,2026-03-14T15:30:00,2026-03-14T16:30:00,Hannah Mueller,Hall A,55,a5555555-5555-5555-5555-555555555555
66661111-1111-1111-1111-111111111111,Zero Trust Architecture,Implementing zero trust in enterprise networks,2026-07-10T09:00:00,2026-07-10T10:30:00,Carlos Rivera,Main Hall,100,a6666666-6666-6666-6666-666666666666
66662222-2222-2222-2222-222222222222,Penetration Testing 101,Hands-on intro to ethical hacking techniques,2026-07-10T11:00:00,2026-07-10T12:30:00,Mei Lin,Lab B,25,a6666666-6666-6666-6666-666666666666
66663333-3333-3333-3333-333333333333,GDPR & Compliance,Navigating data privacy regulations in 2026,2026-07-10T13:30:00,2026-07-10T14:30:00,Eva Novak,Room 5,60,a6666666-6666-6666-6666-666666666666
66664444-4444-4444-4444-444444444444,SOC Operations Workshop,Running an effective security operations centre,2026-07-10T15:00:00,2026-07-10T16:30:00,Ben Thompson,Room 6,50,a6666666-6666-6666-6666-666666666666
77771111-1111-1111-1111-111111111111,Design Thinking Workshop,Human-centred problem solving in practice,2026-09-05T09:00:00,2026-09-05T11:00:00,Iris Van Dyke,Workshop A,20,a7777777-7777-7777-7777-777777777777
77772222-2222-2222-2222-222222222222,Digital Transformation Roadmap,Planning your organisation's digital journey,2026-09-05T11:30:00,2026-09-05T12:30:00,Robert Chen,Hall B,80,a7777777-7777-7777-7777-777777777777
77773333-3333-3333-3333-333333333333,Building an Innovation Culture,Leadership strategies for sustained innovation,2026-09-05T13:30:00,2026-09-05T14:30:00,Amara Osei,Hall B,80,a7777777-7777-7777-7777-777777777777
77774444-4444-4444-4444-444444444444,Startup & Ecosystem Thinking,Lessons from startups applied to large organisations,2026-09-05T15:00:00,2026-09-05T16:00:00,Felix Wagner,Room 7,45,a7777777-7777-7777-7777-777777777777
88881111-1111-1111-1111-111111111111,S/4HANA Migration Planning,Roadmap and readiness assessment for migration,2026-11-18T09:00:00,2026-11-18T10:30:00,Stefan Bauer,Main Hall,90,a8888888-8888-8888-8888-888888888888
88882222-2222-2222-2222-222222222222,Data Migration Best Practices,Tools and techniques for clean data migration,2026-11-18T11:00:00,2026-11-18T12:30:00,Claudia Reyes,Room 8,50,a8888888-8888-8888-8888-888888888888
88883333-3333-3333-3333-333333333333,Custom Code Adaptation,Adapting legacy ABAP for S/4HANA compatibility,2026-11-18T13:30:00,2026-11-18T15:00:00,Oliver Schmidt,Lab C,35,a8888888-8888-8888-8888-888888888888
88884444-4444-4444-4444-444444444444,Post-Migration Support & Testing,Stabilising your system after go-live,2026-11-18T15:30:00,2026-11-18T16:30:00,Natalie Dubois,Room 9,40,a8888888-8888-8888-8888-888888888888
